BearID,Year,Capture date,Ageclass,Sex,OW_50prct,OW_15prct,Meltseason,Bearded_seal,Ringed_seal,Beluga_whale,Bowhead_whale,Seabird_nestling
21274,2013,2013-03-29,Adult,Male,127,88,168,36.33,43.06,0,20.61,0
20184,2008,2008-04-05,Adult,Male,158,89,147,75.76,4.38,0,19.87,0
20125,2006,2006-03-31,Adult,Male,135,65,160,38.87,42.61,0,18.53,0
20726,2010,2010-04-15,Adult,Male,135,88,148,49.65,34.43,0,15.93,0
20945,2008,2008-04-28,Subadult,Female,158,89,147,24.17,59.95,0,15.89,0
2012022,2012,2012-05-01,Adult,Male,136,100,164,31.11,53.32,0,15.57,0
21254,2011,2011-04-12,Adult,Male,147,83,163,58.6,26.56,0,14.84,0
20991,2009,2009-03-28,Adult,Male,120,66,174,44.43,41.47,0,14.11,0
20184,2009,2009-04-26,Adult,Male,120,66,174,28.59,58.46,0,12.96,0
20757,2008,2008-05-11,Adult,Male,158,89,147,58.15,29.04,0,12.83,0
20606,2008,2008-05-11,Adult,Male,158,89,147,50.33,36.88,0,12.79,0
21219,2011,2011-04-02,Adult,Female,147,83,163,39.7,47.7,0,12.61,0
20965,2008,2008-05-20,Adult,Female,158,89,147,30.33,57.24,0,12.45,0
20807,2008,2008-04-26,Subadult,Female,158,89,147,73.87,14.01,0,12.12,0
20449,2009,2009-04-18,Adult,Male,120,66,174,61.33,28.18,0,10.5,0
20520,2013,2013-04-12,Adult,Female,127,88,168,16.04,73.47,0,10.49,0
21341,2013,2013-04-03,Subadult,Male,127,88,168,39.22,51.17,0,9.62,0
20914,2007,2007-05-13,Adult,Male,104,37,120,59.89,30.76,0,9.36,0
20413,2009,2009-04-24,Adult,Female,120,66,174,37.25,54.01,0,8.75,0
20580,2007,2007-04-30,Adult,Male,104,37,120,73.72,17.81,0,8.47,0
20959,2008,2008-05-14,Subadult,Male,158,89,147,54.59,36.96,0,8.46,0
2012019,2012,2012-05-01,Adult,Male,136,100,164,20.61,71.21,0,8.19,0
21337,2013,2013-03-31,Adult,Male,127,88,168,37.95,54.17,0,7.89,0
20929,2008,2008-04-12,Adult,Female,158,89,147,33.43,58.71,0,7.86,0
20177,2007,2007-04-22,Adult,Male,104,37,120,41.58,50.71,0,7.72,0
32921,2016,2016-04-22,Adult,Female,139,95,169,72.83,19.54,0,7.64,0
6520,2008,2008-04-12,Adult,Female,158,89,147,58.05,34.32,0,7.63,0
20730,2004,2004-04-22,Subadult,Female,131,57,138,31.41,61.02,0,7.58,0
20962,2008,2008-05-19,Subadult,Female,158,89,147,66.9,25.59,0,7.51,0
22298,2015,2015-04-13,Subadult,Male,114,69,144,38.91,54.66,0,6.43,0
22299,2015,2015-04-14,Subadult,Male,114,69,144,39.88,53.8,0,6.33,0
21221,2010,2010-05-04,Adult,Female,135,88,148,78.25,15.51,0,6.25,0
21335,2014,2014-03-25,Subadult,Male,121,72,115,45.51,48.31,0,6.19,0
21340,2013,2013-04-01,Adult,Female,127,88,168,31.03,62.87,0,6.11,0
20818,2005,2005-04-26,Adult,Female,121,67,137,28.33,65.83,0,5.85,0
32623,2009,2009-05-06,Adult,Male,120,66,174,67.02,27.35,0,5.63,0
20764,2005,2005-03-31,Adult,Female,121,67,137,34.11,60.34,0,5.55,0
20656,2004,2004-03-26,Subadult,Female,131,57,138,39.68,54.9,0,5.43,0
20185,2008,2008-04-18,Adult,Female,158,89,147,66.19,28.51,0,5.31,0
20540,2008,2008-04-30,Adult,Male,158,89,147,41.75,53.15,0,5.11,0
20766,2005,2005-04-01,Subadult,Female,121,67,137,33.98,61.1,0,4.93,0
20156,2007,2007-04-16,Adult,Male,104,37,120,24.96,70.17,0,4.87,0
20949,2008,2008-04-29,Subadult,Female,158,89,147,68.85,26.35,0,4.81,0
20915,2007,2007-05-13,Subadult,Female,104,37,120,35.13,60.08,0,4.8,0
21405,2016,2016-04-23,Adult,Male,139,95,169,95.24,0,0,4.77,0
20667,2004,2004-03-30,Subadult,Female,131,57,138,58.48,36.89,0,4.63,0
20850,2006,2006-05-01,Adult,Female,135,65,160,24.72,71.52,0,3.76,0
20914,2008,2008-05-14,Adult,Male,158,89,147,68.12,28.13,0,3.75,0
20694,2005,2005-04-01,Adult,Female,121,67,137,23.74,72.71,0,3.56,0
32214,2007,2007-04-25,Subadult,Female,104,37,120,54.44,42.12,0,3.45,0
20479,2006,2006-04-05,Adult,Female,135,65,160,26.77,70.68,0,2.56,0
20845,2015,2015-04-12,Adult,Female,114,69,144,52.41,45.25,0,2.34,0
20710,2004,2004-04-13,Subadult,Male,131,57,138,0,33.01,64.76,2.24,0
21276,2015,2015-04-14,Adult,Female,114,69,144,75.75,22.26,0,2,0
21360,2013,2013-04-27,Subadult,Male,127,88,168,57.77,40.64,0,1.6,0
20480,2016,2016-04-17,Adult,Female,139,95,169,42.07,56.47,0,1.48,0
21403,2016,2016-04-22,Adult,Female,139,95,169,98.44,0.2,0,1.37,0
20550,2011,2011-04-01,Adult,Male,147,83,163,87.85,11.14,0,1.02,0
22302,2015,2015-04-16,Adult,Female,114,69,144,35.53,63.72,0,0.76,0
20761,2005,2005-03-29,Subadult,Female,121,67,137,41.94,57.61,0,0.46,0
6348,2005,2005-04-25,Adult,Female,121,67,137,41.11,58.59,0,0.31,0
20110,2008,2008-04-24,Adult,Male,158,89,147,48.97,50.89,0,0.15,0
20918,2008,2008-04-03,Subadult,Male,158,89,147,90.75,9.14,0,0.12,0
20732,2004,2004-04-23,Adult,Male,131,57,138,0,19.93,80.07,0,0
20774,2005,2005-04-06,Adult,Female,121,67,137,32.33,67.68,0,0,0
20777,2005,2005-04-06,Subadult,Male,121,67,137,32.47,67.53,0,0,0
20520,2010,2010-04-17,Adult,Female,135,88,148,38.68,61.32,0,0,0
20816,2005,2005-04-26,Subadult,Female,121,67,137,41.52,58.48,0,0,0
2012020,2012,2012-05-01,Adult,Female,136,100,164,42.52,57.48,0,0,0
